 ICs: , delta0=0 , phi0=0.5236 , phid=0 , Nonlinear EOM,,,,
 success, balance_score, k1, k2, k3, r*Q=R,e1,e2,e3
1,4.0367,15.776,3.9915,-7.2252,59.948,-5.8301+3.0157i,-5.8301-3.0157i,-3.073
1,4.0271,16.287,4.1407,-7.2683,67.342,-5.9867+3.1096i,-5.9867-3.1096i,-3.0834
1,4.0187,16.827,4.2986,-7.3117,75.646,-6.1524+3.2i,-6.1524-3.2i,-3.0925
1,4.0112,17.396,4.466,-7.3553,84.975,-6.3276+3.2865i,-6.3276-3.2865i,-3.1005
1,4.0044,17.996,4.6433,-7.3991,95.455,-6.5127+3.3683i,-6.5127-3.3683i,-3.1076
1,3.9983,18.63,4.831,-7.443,107.23,-6.7081+3.4448i,-6.7081-3.4448i,-3.1138
1,3.9932,19.299,5.0299,-7.487,120.45,-6.9144+3.5149i,-6.9144-3.5149i,-3.1193
1,3.9903,20.005,5.2406,-7.531,135.3,-7.1321+3.5776i,-7.1321-3.5776i,-3.1242
1,3.9879,20.75,5.4637,-7.5749,151.99,-7.3618+3.6318i,-7.3618-3.6318i,-3.1285
1,3.986,21.537,5.7001,-7.6187,170.74,-7.6041+3.6758i,-7.6041-3.6758i,-3.1323
1,3.9845,22.368,5.9504,-7.6623,191.79,-7.8596+3.708i,-7.8596-3.708i,-3.1357
1,3.9834,23.245,6.2156,-7.7056,215.44,-8.1292+3.7262i,-8.1292-3.7262i,-3.1386
1,3.9828,24.172,6.4965,-7.7487,242.01,-8.4136+3.7279i,-8.4136-3.7279i,-3.1413
1,3.9829,25.151,6.794,-7.7914,271.86,-8.7135+3.7097i,-8.7135-3.7097i,-3.1436
1,3.9834,26.185,7.1091,-7.8336,305.39,-9.03+3.6679i,-9.03-3.6679i,-3.1457
1,3.9841,27.277,7.443,-7.8754,343.05,-9.364+3.5971i,-9.364-3.5971i,-3.1475
1,3.9851,28.432,7.7966,-7.9167,385.35,-9.7164+3.4906i,-9.7164-3.4906i,-3.1492
1,3.9865,29.653,8.1712,-7.9574,432.88,-10.088+3.3388i,-10.088-3.3388i,-3.1506
1,3.9881,30.943,8.568,-7.9975,486.26,-10.481+3.1279i,-10.481-3.1279i,-3.1519
1,3.99,32.307,8.9884,-8.0369,546.23,-10.895+2.8354i,-10.895-2.8354i,-3.1531
1,3.9922,33.749,9.4338,-8.0756,613.59,-11.333+2.4197i,-11.333-2.4197i,-3.1541
1,3.9946,35.274,9.9056,-8.1136,689.26,-11.795+1.7784i,-11.795-1.7784i,-3.155
1,3.9959,36.888,10.405,-8.1508,774.26,-12.622,-11.946,-3.1558
1,3.9973,38.594,10.935,-8.1872,869.75,-14.815,-10.784,-3.1565
1,3.9989,40.399,11.496,-8.2227,977.01,-16.309,-10.381,-3.1571
1,4.0007,42.309,12.09,-8.2575,1097.5,-17.714,-10.127,-3.1577
1,4.0027,44.33,12.72,-8.2913,1232.8,-19.113,-9.9467,-3.1582
1,4.005,46.469,13.388,-8.3243,1384.9,-20.538,-9.8093,-3.1587
1,4.0076,48.733,14.095,-8.3563,1555.7,-22.008,-9.701,-3.1591
1,4.0107,51.129,14.844,-8.3874,1747.5,-23.535,-9.6134,-3.1594
1,4.0145,53.665,15.638,-8.4177,1963,-25.131,-9.5412,-3.1597
1,4.0191,56.35,16.479,-8.4469,2205.1,-26.802,-9.481,-3.16
1,4.0252,59.193,17.37,-8.4753,2477.1,-28.557,-9.4302,-3.1603
1,4.0335,62.203,18.314,-8.5027,2782.6,-30.404,-9.387,-3.1605
